COURSE NAME,CLUSTER,COURSE CODE,UNIVERSITY,CUT-OFF POINTS,MINIMUM SUBJECT REQUIREMENTS
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1096189,Garissa University,19.799,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1249189,Jomo Kenyatta University of Agriculture and Technology,30.427,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1244189,Karatina University,24.975,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1111189,Kenyatta University,32.565,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1079189,Kirinyaga University,22.665,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1087189,Kisii University,25.726,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1165189,Maasai Mara University,22.084,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1229189,Maseno University,28.799,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1240189,Meru University of Science and Technology,24.659,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1253189,Moi University,26.656,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1246189,Murang'a University of Technology,23.632,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1073189,Rongo University,22.86,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1063189,Technical University of Mombasa,28.452,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1515189,Tom Mboya University,22.366,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1118189,University of Kabianga,23.016,
BACHELOR OF SCIENCE IN EMPLOYMENT AND LABOUR STUDIES,2,1515C20,Tom Mboya University,19.799,
,2,,,,
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,2,,,,Mathematics: C
,2,1078244,AFRICANAZARENEUNIVERSITY,19.799,
,2,1600244,ALUPEUNIVERSITY,19.799,
,2,1080206,CO-OPERATIVEUNIVERSITYOFKENYA,30.772,
,2,1173244,DEDANKIMATHIUNIVERSITYOFTECHNOLOGY,31.259,
,2,1053554,JARAMOGIOGINGAODINGAUNIVERSITYOFSCIENCEANDTECHNOLOGY,19.799,
,2,1249536,JOMOKENYATTAUNIVERSITYOFAGRICULTUREANDTECHNOLOGY,28.168,
,2,1249244,JOMOKENYATTAUNIVERSITYOFAGRICULTUREANDTECHNOLOGY,34.605,
,2,1061206,KABARAKUNIVERSITY,19.799,
,2,1061301,KABARAKUNIVERSITY,19.799,
,2,1103206,KCAUNIVERSITY,19.799,
,2,1077244,KENYAMETHODISTUNIVERSITY,19.799,
,2,1079206,KIRINYAGAUNIVERSITY,19.799,
,2,1460206,KIRIRIWOMENSUNIVERSITYOFSCIENCEANDTECHNOLOGY,19.799,
,2,1066244,MANAGEMENTUNIVERSITYOFAFRICA,19.799,
,2,1240244,MERUUNIVERSITYOFSCIENCEANDTECHNOLOGY,24.231,
,2,1279244,MOUNTKENYAUNIVERSITY,24.087,
,2,1164244,MULTIMEDIAUNIVERSITYOFKENYA,31.802,
,2,1246244,MURANG'AUNIVERSITYOFTECHNOLOGY,27.402,
,2,1068244,PANAFRICACHRISTIANUNIVERSITY,19.799,
,2,1060244,RIARAUNIVERSITY,30.961,
,2,1090244,SCOTTCHRISTIANUNIVERSITY,19.799,
,2,1166244,SOUTHEASTERNKENYAUNIVERSITY,19.799,
,2,1107206,STPAULSUNIVERSITY,19.799,
,2,1091244,TAITATAVETAUNIVERSITY,19.799,
,2,1063244,TECHNICALUNIVERSITYOFMOMBASA,19.799,
,2,1500244,THEEASTAFRICANUNIVERSITY,19.799,
,2,1181244,"UNIVERSITYOFEASTERNAFRICA,BARATON",19.799,
,2,1093244,UNIVERSITYOFEMBU,25.619,
,2,1425244,ZETECHUNIVERSITY,19.799,
,2,,,,
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,2,,,,None
,2,1600222,ALUPE UNIVERSITY,23.083,
,2,1105223,CHUKA UNIVERSITY,25.581,
,2,1173221,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,26.091,
,2,1057223,EGERTON UNIVERSITY,27.917,
,2,1088224,GRETSA UNIVERSITY,19.799,
,2,1088221,GRETSA UNIVERSITY,19.799,
,2,1061224,KABARAK UNIVERSITY,21.764,
,2,1244222,KARATINA UNIVERSITY,24.717,
,2,1077224,KENYA METHODIST UNIVERSITY,19.799,
,2,1111221,KENYATTA UNIVERSITY,30.444,
,2,1580221,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,26.381,
,2,1460821,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,19.799,
,2,1087223,KISII UNIVERSITY,23.063,
,2,1087387,KISII UNIVERSITY,25.298,
,2,1165222,MAASAI MARA UNIVERSITY,27.31,
,2,1170221,MACHAKOS UNIVERSITY,26.125,
,2,1229223,MASENO UNIVERSITY,28.14,
,2,1082427,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,26.523,
,2,1240224,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.048,
,2,1253222,MOI UNIVERSITY,22.894,
,2,1279224,MOUNT KENYA UNIVERSITY,27.319,
,2,1246821,MURANG'A UNIVERSITY OF TECHNOLOGY,23.037,
,2,1196221,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,19.799,
,2,1117224,PWANI UNIVERSITY,27.353,
,2,1073222,RONGO UNIVERSITY,22.435,
,2,1073223,RONGO UNIVERSITY,22.458,
,2,1090221,SCOTT CHRISTIAN UNIVERSITY,19.799,
